claim_id,paper_key,kind,label,line_start,next_line_start,n_deps,deps,n_unresolved_refs,unresolved_refs,region_chars,used_by_count,deps_str,unresolved_refs_str
GLC1:remark:auto0001@L1081,GLC1,remark,,1081,1098.0,0,[],0,[],549,0,,
GLC1:theorem:t:cc-intro,GLC1,theorem,t:cc-intro,1098,1414.0,7,"['GLC1:corollary:c:bdd right', 'GLC1:proposition:p:bdd right', 'GLC1:proposition:p:when >0', 'GLC1:theorem:t:L coarse left exact', 'GLC1:theorem:t:compact to bdd below Betti', 'GLC1:theorem:t:compact to bdd below dr', 'GLC1:theorem:t:dR => Betti bis']",13,"['e:etale vs dR twistings', 'e:spectral side restr Intro', 'e:tw line bundle', 's:Betti', 's:eigensheaves', 's:functor', 's:proof of Betti >0', 's:proof of dr', 's:restricted vs full', 'ss:coarse', 'ss:comparison Intro', 'sss:crit 1/2 can', 'sss:pfaff']",12292,0,GLC1:corollary:c:bdd right;GLC1:proposition:p:bdd right;GLC1:proposition:p:when >0;GLC1:theorem:t:L coarse left exact;GLC1:theorem:t:compact to bdd below Betti;GLC1:theorem:t:compact to bdd below dr;GLC1:theorem:t:dR => Betti bis,e:etale vs dR twistings;e:spectral side restr Intro;e:tw line bundle;s:Betti;s:eigensheaves;s:functor;s:proof of Betti >0;s:proof of dr;s:restricted vs full;ss:coarse;ss:comparison Intro;sss:crit 1/2 can;sss:pfaff
GLC1:remark:auto0003@L1414,GLC1,remark,,1414,1459.0,0,[],0,[],1548,0,,
GLC1:theorem:t:spectral decomp,GLC1,theorem,t:spectral decomp,1459,1514.0,0,[],1,['e:spec Loc'],1960,0,,e:spec Loc
GLC1:proposition:p:det to BunN,GLC1,proposition,p:det to BunN,1514,1605.0,0,[],5,"['e:rel det', 'e:rel det 1', 'e:rel det 2', 'e:vector bundle duality', 'sss:basis in g']",3229,0,,e:rel det;e:rel det 1;e:rel det 2;e:vector bundle duality;sss:basis in g
GLC1:corollary:c:det to BunN rho,GLC1,corollary,c:det to BunN rho,1605,1703.0,0,[],2,"['sss:basis in g', 'sss:spectral action']",3255,0,,sss:basis in g;sss:spectral action
GLC1:remark:auto0007@L1703,GLC1,remark,,1703,1710.0,0,[],1,['sss:LL temp'],257,0,,sss:LL temp
GLC1:remark:auto0008@L1710,GLC1,remark,,1710,1808.0,3,"['GLC1:conjecture:c:GLC dR', 'GLC1:remark:r:L temp', 'GLC1:theorem:t:compact to bdd below dr']",0,[],2807,0,GLC1:conjecture:c:GLC dR;GLC1:remark:r:L temp;GLC1:theorem:t:compact to bdd below dr,
GLC1:theorem:t:compact to bdd below dr,GLC1,theorem,t:compact to bdd below dr,1808,1833.0,0,[],1,['s:proof of dr'],1012,7,,s:proof of dr
GLC1:corollary:c:main dr,GLC1,corollary,c:main dr,1833,1861.0,0,[],0,[],700,2,,
GLC1:conjecture:c:GLC dR,GLC1,conjecture,c:GLC dR,1861,1865.0,0,[],0,[],82,1,,
GLC1:remark:auto0012@L1865,GLC1,remark,,1865,1883.0,3,"['GLC1:corollary:c:main dr', 'GLC1:lemma:l:Eis', 'GLC1:theorem:t:compact to bdd below dr']",0,[],663,0,GLC1:corollary:c:main dr;GLC1:lemma:l:Eis;GLC1:theorem:t:compact to bdd below dr,
